problem_id,success_rate,attempt_count,avg_response_time,avg_hints,avg_attempts,difficulty_score,difficulty_level
83,0.5,4,28924.0,0.75,1.5,0.2886263216290302,Easy
84,0.0,4,14387.75,0.75,2.25,0.5393045131183918,Medium
85,0.2,5,16189.4,3.4,1.4,0.5702230126615324,Medium
86,0.5,30,23361.4,0.0,1.0,0.25090425531914895,Easy
249,0.0,1,12468.0,0.0,2.0,0.5018085106382979,Medium
250,0.0,1,1735.0,3.0,1.0,0.649984009920376,Medium
251,0.0,1,1859.0,3.0,1.0,0.649984009920376,Medium
252,0.6,20,34681.8,0.0,1.0,0.20090425531914896,Easy
807,0.125,8,5489.0,2.25,1.875,0.5510052946743245,Medium
808,0.0,7,8105.428571428572,1.8571428571428572,1.7142857142857142,0.5938376191097767,Medium
809,0.25,8,6958.25,1.5,1.75,0.4511223241091242,Medium
810,0.1111111111111111,9,38964.444444444445,0.0,0.7777777777777778,0.4451477541371158,Medium
847,0.3333333333333333,3,5904.666666666667,1.0,1.3333333333333333,0.38423225862594096,Medium
848,0.0,3,23989.333333333332,2.6666666666666665,2.0,0.6343238480616108,Medium
849,0.25,4,47601.5,0.0,1.0,0.37590425531914895,Medium
1076,0.3333333333333333,3,4825.666666666667,0.6666666666666666,1.3333333333333333,0.36766784144802683,Medium
1077,0.3333333333333333,3,5300.666666666667,2.0,3.0,0.4354326023582648,Medium
1078,0.3333333333333333,3,12252.333333333334,0.6666666666666666,1.3333333333333333,0.36766784144802683,Medium
1079,1.0,3,11082.0,0.0,1.0,0.0009042553191489361,Easy
1080,0.75,12,43243.5,0.0,1.0,0.12590425531914895,Easy
1081,0.0,6,20415.833333333332,4.0,1.5,0.7001293891136927,Hard
1082,0.0,6,19111.5,2.0,1.5,0.6007428860462081,Medium
1083,0.2,5,8854.6,2.4,2.0,0.5210723143192795,Medium
1084,0.4,5,4745.2,1.0,1.6,0.3511400600443806,Medium
1085,0.14285714285714285,7,26779.285714285714,0.0,0.8571428571428571,0.42934650455927054,Medium
1251,0.5,2,7307.0,1.0,1.0,0.30059750685289127,Easy
1252,0.5,2,5582.5,1.0,1.0,0.30059750685289127,Easy
1253,0.0,2,34823.5,3.0,1.5,0.6504361375799504,Medium
1254,0.8,10,52873.6,0.0,0.8,0.10072340425531913,Easy
2214,0.0,5,7310.4,2.6,1.2,0.6302875603707089,Medium
2215,0.2,5,12623.4,3.2,1.8,0.5606460644824436,Medium
2216,0.4,5,7291.8,2.4,1.0,0.42016805900013054,Medium
2217,0.6,5,23427.2,0.6,1.4,0.23108190836705392,Easy
2218,0.375,8,88323.125,0.0,0.875,0.3132912234042553,Easy
4013,0.5,2,19445.5,0.0,2.5,0.2522606382978723,Easy
4014,0.0,2,8125.0,2.0,6.0,0.6048120349823782,Medium
4015,0.3333333333333333,12,37850.0,0.0,1.0,0.3342375886524823,Medium
8462,0.6176470588235294,34,49273.91176470588,1.2352941176470589,1.6176470588235294,0.2540250178520697,Easy
8463,0.90625,32,28373.15625,0.34375,4.25,0.0678001403211069,Easy
12470,0.4,5,226380.8,0.0,0.8,0.3007234042553191,Easy
12813,0.2222222222222222,9,83069.22222222222,0.0,0.6666666666666666,0.38949172576832153,Medium
12814,0.0,7,4561.714285714285,2.0,1.0,0.6002907583866336,Medium
12815,0.0,7,16744.0,2.0,1.7142857142857142,0.6009366550431685,Medium
12865,0.1111111111111111,9,82666.0,0.0,0.5555555555555556,0.4449468085106383,Medium
12869,0.0,8,14380.875,1.5,2.875,0.5771396113431667,Medium
12949,0.08333333333333333,12,79568.66666666667,0.0,0.9166666666666666,0.4591622340425532,Medium
12950,0.2727272727272727,11,32309.909090909092,1.3636363636363635,1.5454545454545454,0.43279737394833334,Medium
12951,0.5454545454545454,11,15771.181818181818,0.8181818181818182,1.2727272727272727,0.26908171257016056,Easy
12978,0.0,4,65907.25,0.0,1.0,0.500904255319149,Medium
12979,0.25,4,16209.5,2.25,1.5,0.4881661989296437,Medium
12980,0.25,4,33216.5,2.25,2.25,0.48884439041900535,Medium
12981,0.0,12,82776.83333333333,0.0,0.8333333333333334,0.5007535460992908,Medium
12982,0.0,12,10233.083333333334,2.3333333333333335,1.6666666666666667,0.6174580124439804,Medium
12983,0.5,12,13767.833333333334,1.25,1.25,0.3132468835661141,Easy
12984,0.08333333333333333,12,12293.833333333334,2.4166666666666665,1.5,0.579781740851934,Medium
13080,0.0,7,78422.14285714286,0.0,0.5714285714285714,0.500516717325228,Medium
13081,0.0,7,13664.42857142857,3.2857142857142856,2.4285714285714284,0.6654738751002294,Hard
13082,0.5714285714285714,7,27425.14285714286,0.8571428571428571,2.0,0.2586884405243627,Easy
13083,0.5714285714285714,7,22039.428571428572,0.5714285714285714,1.4285714285714286,0.24397365133235127,Easy
13130,0.5,12,101059.25,0.0,0.8333333333333334,0.2507535460992908,Easy
13143,0.5,6,27280.0,1.3333333333333333,1.0,0.3171619240308054,Easy
13144,0.8333333333333334,6,29010.0,0.5,1.0,0.10908421441935341,Easy
13152,0.6153846153846154,13,179190.6923076923,0.0,0.9230769230769231,0.19314238952536822,Easy
13153,0.8,5,13324.6,0.0,1.6,0.10144680851063828,Easy
13154,0.8,5,11669.6,0.0,1.6,0.10144680851063828,Easy
13155,0.2,5,8108.4,0.0,2.2,0.4019893617021277,Medium
13249,0.75,12,54403.25,0.0,1.0,0.12590425531914895,Easy
13250,0.3333333333333333,3,5688.0,1.0,1.6666666666666667,0.3845336770656573,Medium
13295,0.0,3,3912.6666666666665,1.0,2.0,0.5515017621720403,Medium
13296,0.0,3,4013.0,0.3333333333333333,3.6666666666666665,0.5198800200147936,Medium
13297,0.75,12,65888.75,0.0,1.0,0.12590425531914895,Easy
13305,0.2727272727272727,11,75541.18181818182,0.0,1.0,0.3645406189555126,Medium
13306,0.0,7,11141.42857142857,2.0,1.4285714285714286,0.6006782963805546,Medium
13307,0.5714285714285714,7,23421.85714285714,0.0,2.142857142857143,0.21622340425531916,Easy
13409,0.5454545454545454,11,75988.72727272728,0.0,1.0,0.22817698259187624,Easy
13410,0.0,5,8348.4,0.0,0.2,0.5001808510638298,Medium
13432,0.4444444444444444,9,135194.44444444444,0.0,1.4444444444444444,0.27908392434988183,Easy
13433,0.0,5,8153.6,3.6,1.4,0.6801616629682808,Hard
13437,0.2,5,7167.4,0.0,2.2,0.4019893617021277,Medium
13447,0.4,5,25774.0,1.0,1.8,0.3513209111082104,Medium
13457,0.2,5,18035.8,1.6,1.0,0.4804134577731367,Medium
13513,0.3,10,54199.4,0.0,0.9,0.350813829787234,Medium
13514,0.0,7,14930.57142857143,0.42857142857142855,2.0,0.5231056184384731,Medium
13515,0.0,7,27821.714285714286,1.7142857142857142,1.2857142857142858,0.586351045182464,Medium
13516,0.5714285714285714,7,26967.285714285714,0.5714285714285714,1.1428571428571428,0.2437152926697373,Easy
14443,0.16666666666666666,12,66627.66666666667,0.0,0.75,0.4173448581560284,Medium
14444,0.0,10,6470.9,2.9,1.1,0.6451051102989166,Medium
14445,0.7,10,22005.2,0.6,1.0,0.18072020623939433,Easy
14449,0.375,8,93938.25,0.0,1.0,0.31340425531914895,Easy
14450,0.2,5,26860.2,4.0,1.6,0.6002198146456076,Medium
14452,0.4,5,44926.0,1.8,1.2,0.3905329591437149,Medium
14453,0.6,5,13843.4,0.8,1.4,0.2410205586738024,Easy
14454,0.0,8,51087.875,0.0,1.0,0.500904255319149,Medium
14458,0.0,7,43051.42857142857,3.0,1.8571428571428572,0.6507590859082178,Medium
14459,0.8,5,9462.2,0.0,1.2,0.1010851063829787,Easy
14468,0.2,10,28820.5,0.0,1.0,0.40090425531914897,Medium
14469,0.0,8,8770.125,3.0,1.125,0.6500970418352696,Medium
14470,0.125,8,9951.375,0.375,2.25,0.45816954379323843,Medium
14494,0.0,3,2695.0,1.0,2.3333333333333335,0.5518031806117566,Medium
14495,0.3333333333333333,3,4154.0,0.0,1.6666666666666667,0.33484042553191495,Medium
14560,0.0,1,55710.0,0.0,1.0,0.500904255319149,Medium
14561,0.0,1,1078.0,3.0,1.0,0.649984009920376,Medium
14563,0.0,1,30472.0,4.0,82.0,0.7729219423051821,Hard
14602,0.2727272727272727,11,145733.72727272726,0.0,0.9090909090909091,0.364458413926499,Medium
14603,0.25,8,69113.25,3.5,1.125,0.5499436676021408,Medium
14604,0.0,7,16401.285714285714,4.0,2.142857142857143,0.7007106961045741,Hard
14605,0.375,8,16634.5,1.125,1.875,0.37010038669886436,Medium
14749,0.3,10,72491.0,0.0,0.9,0.350813829787234,Medium
14751,0.0,7,7204.857142857143,1.7142857142857142,1.4285714285714286,0.586480224513771,Medium
14752,0.0,7,15636.57142857143,2.857142857142857,1.5714285714285714,0.6434016913122121,Medium
14753,0.8571428571428571,7,26575.85714285714,0.42857142857142855,1.0,0.09362993454789567,Easy
14754,0.2857142857142857,7,25353.0,1.2857142857142858,1.2857142857142858,0.4221967945251459,Medium
14755,0.7142857142857143,7,19220.85714285714,0.8571428571428571,1.1428571428571428,0.18648479310794935,Easy
14756,0.5714285714285714,7,54612.142857142855,0.0,1.8571428571428572,0.21596504559270518,Easy
15142,0.45454545454545453,11,106540.54545454546,0.0,0.7272727272727273,0.273384912959381,Easy
15143,0.0,6,24367.5,2.5,1.0,0.6251373841535047,Medium
15150,0.16666666666666666,6,23607.5,1.3333333333333333,2.0,0.48473284601662103,Medium
15152,0.3333333333333333,6,20154.333333333332,1.6666666666666667,1.8333333333333333,0.4178132206413437,Medium
22062,0.5,8,84526.25,0.0,0.875,0.2507912234042553,Easy
22065,0.25,4,18097.5,3.0,2.0,0.5258882652395249,Medium
22066,0.75,4,14924.25,0.5,1.0,0.15075088108602008,Easy
22756,0.5,4,64083.75,0.0,0.75,0.2506781914893617,Easy
22757,0.0,2,50504.5,1.5,1.5,0.5758962602793369,Medium
22758,0.5,2,7346.0,0.0,2.0,0.2518085106382979,Easy
31460,0.625,8,105251.5,0.0,1.0,0.18840425531914895,Easy
31461,0.3333333333333333,3,31931.333333333332,0.0,1.6666666666666667,0.33484042553191495,Medium
31462,0.6666666666666666,3,25496.333333333332,0.0,1.6666666666666667,0.16817375886524824,Easy
31463,0.0,3,4640.333333333333,0.6666666666666666,2.3333333333333335,0.5352387634338425,Medium
32558,0.0,8,64863.625,2.5,2.5,0.6264937671322282,Medium
35857,0.125,8,42546.375,0.0,1.0,0.43840425531914895,Medium
35858,0.0,7,9749.0,3.0,1.7142857142857142,0.6506299065769109,Medium
35859,0.0,7,30033.285714285714,3.0,3.7142857142857144,0.6524384172152088,Medium
35860,0.42857142857142855,7,2981.8571428571427,0.42857142857142855,1.5714285714285714,0.3084323661588379,Easy
36856,0.14285714285714285,7,40261.142857142855,2.142857142857143,1.2857142857142858,0.5362195815540679,Medium
36893,0.0,3,11794.666666666666,0.0,2.6666666666666665,0.5024113475177305,Medium
36894,0.3333333333333333,3,33520.0,0.0,2.0,0.33514184397163127,Medium
40686,0.4,5,9086.0,2.4,1.6,0.42071061219161987,Medium
42492,0.75,8,52418.375,0.0,1.125,0.12601728723404254,Easy
42493,0.5,2,13265.5,0.0,2.0,0.2518085106382979,Easy
42494,0.5,2,7157.0,0.0,1.5,0.2513563829787234,Easy
42495,0.5,2,4788.0,2.0,1.5,0.35074288604620807,Medium
42496,1.0,2,8378.0,0.0,1.0,0.0009042553191489361,Easy
43199,0.8064516129032258,31,37999.096774193546,0.0,1.4193548387096775,0.09805765271105013,Easy
44718,0.8,5,50661.6,0.0,1.2,0.1010851063829787,Easy
46794,0.6296296296296297,108,62033.166666666664,0.0,0.9444444444444444,0.18603920409771474,Easy
46795,0.42105263157894735,19,28335.36842105263,0.7368421052631579,1.5263157894736843,0.32746994345935326,Easy
46796,0.5789473684210527,19,22322.63157894737,0.6842105263157895,1.8421052631578947,0.24619269505836122,Easy
46797,0.6451612903225806,62,56341.903225806454,0.0,1.0,0.17832361015785864,Easy
46798,0.09090909090909091,11,7690.454545454545,0.6363636363636364,1.9090909090909092,0.48789473840348396,Medium
46799,0.9090909090909091,11,18992.18181818182,0.18181818181818182,1.3636363636363635,0.055722757532247175,Easy
46800,0.7619047619047619,126,62504.06349206349,0.0,0.9523809523809523,0.11990881458966568,Easy
46801,0.2,15,14893.0,0.8666666666666667,2.7333333333333334,0.4455391158682505,Medium
46802,0.5,14,18646.785714285714,0.5,1.7857142857142858,0.2764613674082086,Easy
46803,0.5813953488372093,86,65397.604651162794,0.0,0.8372093023255814,0.21005937654626422,Easy
46804,0.2777777777777778,18,14671.555555555555,1.3888888888888888,2.0555555555555554,0.4319882630640038,Medium
46805,0.6111111111111112,18,19107.222222222223,1.1666666666666667,1.5,0.25377628754586723,Easy
46806,0.7692307692307693,78,40258.282051282054,0.0,0.9743589743589743,0.11626568466993997,Easy
46807,0.3333333333333333,9,11726.0,1.2222222222222223,2.2222222222222223,0.39607898591712715,Medium
46808,0.3333333333333333,9,29092.333333333332,1.8888888888888888,1.5555555555555556,0.4286049833935228,Medium
46809,0.6046511627906976,86,47275.06976744186,0.0,0.9069767441860465,0.1984945571499258,Easy
46810,0.35294117647058826,17,12662.70588235294,1.0588235294117647,2.7058823529411766,0.3785926042522478,Medium
46811,0.35294117647058826,17,24797.58823529412,1.7058823529411764,1.5294117647058822,0.4096832313397882,Medium
46812,0.7368421052631579,76,117204.26315789473,0.0,0.9473684210526315,0.13243561030235165,Easy
46813,0.4,10,13796.4,0.8,1.4,0.3410205586738024,Medium
46814,0.7,10,37834.3,0.6,1.9,0.18153403602662838,Easy
46815,0.6666666666666666,72,144505.55555555556,0.0,0.9722222222222222,0.16754580378250594,Easy
46816,0.16666666666666666,12,9707.083333333334,0.9166666666666666,1.8333333333333333,0.46387661532437025,Medium
46817,0.75,12,11203.0,0.9166666666666666,1.0833333333333333,0.1715317571683418,Easy
46818,0.6222222222222222,90,35995.24444444444,0.0,0.9777777777777777,0.18977304964539007,Easy
46819,0.17647058823529413,17,24384.70588235294,0.8235294117647058,1.8823529411764706,0.45439068774618574,Medium
46820,0.5,14,19075.5,1.4285714285714286,1.5714285714285714,0.3224113319782945,Easy
46821,0.7068965517241379,116,38413.58620689655,0.0,0.9655172413793104,0.1474247982391783,Easy
46822,0.11764705882352941,17,19626.235294117647,0.8235294117647058,2.1176470588235294,0.48401521840951495,Medium
46823,0.47058823529411764,17,15768.29411764706,1.8235294117647058,1.7058823529411764,0.35686554128243125,Medium
46824,0.7567567567567568,74,45984.13513513513,0.0,0.972972972972973,0.12250143760782056,Easy
46825,0.2222222222222222,9,13222.0,1.0,2.3333333333333335,0.4406920695006454,Medium
46826,0.6666666666666666,9,22079.88888888889,0.0,1.2222222222222223,0.16777186761229315,Easy
46827,0.5882352941176471,102,41851.72549019608,0.0,0.9803921568627451,0.20676887776387148,Easy
46828,0.2857142857142857,21,10671.904761904761,0.6666666666666666,2.1904761904761907,0.39225244124539255,Medium
46829,0.7142857142857143,21,33227.333333333336,0.7619047619047619,1.5714285714285714,0.18213964047960915,Easy
46830,0.8085106382978723,94,65660.10638297872,0.0,0.9787234042553191,0.09662969669533729,Easy
46831,0.4444444444444444,9,14335.111111111111,0.7777777777777778,1.6666666666666667,0.31793517672482563,Easy
46832,0.3333333333333333,9,24373.0,2.0,2.5555555555555554,0.4350307111053097,Medium
46833,0.6666666666666666,108,39948.92592592593,0.0,0.9629629629629629,0.16753743104806937,Easy
46834,0.05555555555555555,18,16320.611111111111,2.0,2.1666666666666665,0.5735679451478629,Medium
46835,0.7777777777777778,18,16170.833333333334,0.8888888888888888,1.1666666666666667,0.15633785479122247,Easy
46836,0.5892857142857143,112,96218.42857142857,0.0,0.9642857142857143,0.20622910334346503,Easy
46837,0.34782608695652173,23,15606.782608695652,1.0869565217391304,2.347826086956522,0.3822243945903305,Medium
46838,0.6521739130434783,23,43122.65217391304,0.5217391304347826,1.3478260869565217,0.20105873623037063,Easy
46839,0.8113207547169812,106,33205.32075471698,0.0,0.9245283018867925,0.09517563227619427,Easy
46840,0.2,10,20085.4,1.6,1.9,0.48122728756037075,Medium
46841,0.3,10,18600.5,2.1,1.7,0.45589306226341203,Medium
46842,0.6481481481481481,108,42108.166666666664,0.0,0.9629629629629629,0.1767966903073286,Easy
46843,0.1111111111111111,18,18188.166666666668,1.2222222222222223,2.0,0.5069891514017607,Medium
46844,0.4444444444444444,18,13596.333333333334,1.2222222222222223,2.388888888888889,0.3406741395814297,Medium
46845,0.7291666666666666,96,62392.895833333336,0.0,0.9583333333333334,0.1362832446808511,Easy
